time_ms,closed_loop_angle,control_angle,angle_difference,closed_loop_velocity,control_velocity,velocity_difference,closed_loop_neural_offset,control_observed_neural_offset
1,-0.00011008521687472239,-0.00011008521687472239,0.0,0.022099146619439125,0.022099146619439125,0.0,0.0,0.0
2,-0.00012535385030787438,-0.00012535385030787438,0.0,0.05753022059798241,0.05753022059798241,0.0,0.0,0.0
3,-0.00012165763473603874,-0.00012165763473603874,0.0,0.06407708674669266,0.06407708674669266,0.0,0.0,0.0
4,-0.00011442516552051529,-0.00011442516552051529,0.0,0.06515005230903625,0.06515005230903625,0.0,0.0,0.0
5,-0.00010667636524885893,-0.00010667636524885893,0.0,0.06520182639360428,0.06520182639360428,0.0,0.0,0.0
6,-9.893786773318425e-05,-9.893786773318425e-05,0.0,0.06511446088552475,0.06511446088552475,0.0,0.0,0.0
7,-9.124983625952154e-05,-9.124983625952154e-05,0.0,0.06502925604581833,0.06502925604581833,0.0,0.0,0.0
8,-8.360311767319217e-05,-8.360311767319217e-05,0.0,0.06496049463748932,0.06496049463748932,0.0,0.0,0.0
9,-7.598183583468199e-05,-7.598183583468199e-05,0.0,0.06490207463502884,0.06490207463502884,0.0,0.0,0.0
10,-6.838160334154963e-05,-6.838160334154963e-05,0.0,0.06485020369291306,0.06485020369291306,0.0,0.0,0.0
11,-6.079194281483069e-05,-6.079194281483069e-05,0.0,0.06479926407337189,0.06479926407337189,0.0,0.0,0.0
12,-5.321009302861057e-05,-5.321009302861057e-05,0.0,0.0647488534450531,0.0647488534450531,0.0,0.0,0.0
13,-4.564294795272872e-05,-4.564294795272872e-05,0.0,0.06469934433698654,0.06469934433698654,0.0,0.0,0.0
14,-3.808928522630595e-05,-3.808928522630595e-05,0.0,0.06465177237987518,0.06465177237987518,0.0,0.0,0.0
15,0.001846139319241047,0.001846139319241047,0.0,16.521818161010742,16.521818161010742,0.0,0.0,0.0
16,0.010917283594608307,0.010917283594608307,0.0,3.3862204551696777,3.3862204551696777,0.0,0.0,0.0
17,0.010144934989511967,0.010144934989511967,0.0,-1.2501217126846313,-1.2501217126846313,0.0,0.0,0.0
18,0.010431531816720963,0.010431531816720963,0.0,1.5586638450622559,1.5586638450622559,0.0,0.0,0.0
19,0.011855628341436386,0.011855628341436386,0.0,1.541178584098816,1.541178584098816,0.0,0.0,0.0
20,0.013358897529542446,0.013358897529542446,0.0,1.278071641921997,1.278071641921997,0.0,0.0,0.0
21,0.014209932647645473,0.014209932647645473,0.0,0.5404986143112183,0.5404986143112183,0.0,0.0,0.0
22,0.014703411608934402,0.014703411608934402,0.0,0.5641186237335205,0.5641186237335205,0.0,0.0,0.0
23,0.015307803638279438,0.015307803638279438,0.0,0.7153633236885071,0.7153633236885071,0.0,0.0,0.0
24,0.016047019511461258,0.016047019511461258,0.0,0.8303486704826355,0.8303486704826355,0.0,0.0,0.0
