step,t_sim,CI,phi,broadcast,self,complexity,mode
5,0.0400,0.0000,0.0000,0.0000,0.0000,0.0000,walking
10,0.0900,0.0000,0.0000,0.0000,0.0000,0.0000,walking
15,0.1400,0.0000,0.0000,0.0000,0.0000,0.0000,walking
20,0.1900,0.0000,0.0000,0.0000,0.0000,0.0000,walking
25,0.2400,0.0000,0.0000,0.0000,0.0000,0.0000,walking
30,0.2900,0.0000,0.0000,0.0000,0.0000,0.0000,walking
35,0.3400,0.0000,0.0000,0.0000,0.0000,0.0000,walking
40,0.3900,0.0450,0.0000,0.1500,0.0000,0.0000,walking
45,0.4400,0.0900,0.0000,0.3000,0.0000,0.0000,walking
50,0.4900,0.0900,0.0000,0.3001,0.0000,0.0000,walking
55,0.5400,0.1350,0.0000,0.4501,0.0000,0.0000,walking
60,0.5900,0.1350,0.0000,0.4502,0.0000,0.0000,walking
65,0.6400,0.1351,0.0000,0.4502,0.0000,0.0000,walking
70,0.6900,0.1351,0.0000,0.4502,0.0000,0.0000,walking
75,0.7400,0.1351,0.0000,0.4502,0.0000,0.0000,walking
80,0.7900,0.1351,0.0000,0.4503,0.0000,0.0000,walking
85,0.8400,0.1351,0.0000,0.4503,0.0000,0.0000,walking
90,0.8900,0.1351,0.0000,0.4503,0.0000,0.0000,walking
95,0.9400,0.1351,0.0000,0.4503,0.0000,0.0000,walking
100,0.9900,0.1351,0.0000,0.4503,0.0000,0.0000,walking
105,1.0400,0.0901,0.0000,0.3003,0.0000,0.0000,walking
110,1.0900,0.0901,0.0000,0.3003,0.0000,0.0000,walking
115,1.1400,0.0901,0.0000,0.3003,0.0000,0.0000,walking
120,1.1900,0.0901,0.0000,0.3004,0.0000,0.0000,walking
125,1.2400,0.0902,0.0004,0.3004,0.0000,0.0000,walking
130,1.2900,0.0903,0.0006,0.3004,0.0000,0.0000,walking
135,1.3400,0.0905,0.0012,0.3004,0.0000,0.0000,walking
140,1.3900,0.0910,0.0027,0.3005,0.0000,0.0000,walking
145,1.4400,0.0910,0.0027,0.3006,0.0000,0.0000,walking
150,1.4900,0.2358,0.0038,0.4506,0.0000,0.4973,walking
155,1.5400,0.2360,0.0044,0.4507,0.0000,0.4973,walking
160,1.5900,0.2349,0.0007,0.4507,0.0000,0.4973,walking
165,1.6400,0.2350,0.0010,0.4508,0.0000,0.4973,walking
170,1.6900,0.2353,0.0020,0.4509,0.0000,0.4973,walking
175,1.7400,0.2353,0.0018,0.4509,0.0000,0.4973,walking
180,1.7900,0.2354,0.0020,0.4510,0.0000,0.4973,walking
185,1.8400,0.2354,0.0020,0.4510,0.0000,0.4973,walking
190,1.8900,0.2352,0.0013,0.4511,0.0000,0.4973,walking
195,1.9400,0.2352,0.0013,0.4512,0.0000,0.4973,walking
200,1.9900,0.1359,0.0019,0.4511,0.0000,0.0000,walking
205,2.0400,0.1359,0.0018,0.4512,0.0000,0.0000,walking
210,2.0900,0.1366,0.0039,0.4512,0.0000,0.0000,walking
215,2.1400,0.1811,0.0025,0.6013,0.0000,0.0000,walking
220,2.1900,0.1810,0.0019,0.6013,0.0000,0.0000,walking
225,2.2400,0.1812,0.0025,0.6013,0.0000,0.0000,walking
230,2.2900,0.1813,0.0029,0.6014,0.0000,0.0000,walking
235,2.3400,0.1811,0.0023,0.6015,0.0000,0.0000,walking
240,2.3900,0.1812,0.0023,0.6015,0.0000,0.0000,walking
245,2.4400,0.1808,0.0012,0.6016,0.0000,0.0000,walking
250,2.4900,0.2813,0.0035,0.6017,0.0000,0.4986,walking
255,2.5400,0.2816,0.0046,0.6018,0.0000,0.4986,walking
260,2.5900,0.2820,0.0059,0.6018,0.0000,0.4986,walking
265,2.6400,0.2806,0.0012,0.6018,0.0000,0.4986,walking
270,2.6900,0.2811,0.0029,0.6017,0.0000,0.4986,walking
275,2.7400,0.2820,0.0057,0.6018,0.0000,0.4986,walking
280,2.7900,0.2844,0.0138,0.6017,0.0000,0.4986,walking
285,2.8400,0.2841,0.0130,0.6017,0.0000,0.4986,walking
290,2.8900,0.2835,0.0108,0.6018,0.0000,0.4986,walking
295,2.9400,0.2844,0.0138,0.6018,0.0000,0.4986,walking
300,2.9900,0.1829,0.0080,0.6018,0.0000,0.0000,walking
305,3.0400,0.1826,0.0070,0.6016,0.0000,0.0000,walking
310,3.0900,0.1816,0.0036,0.6016,0.0000,0.0000,walking
315,3.1400,0.1820,0.0049,0.6017,0.0000,0.0000,walking
320,3.1900,0.1828,0.0075,0.6017,0.0000,0.0000,walking
325,3.2400,0.1827,0.0075,0.6016,0.0000,0.0000,walking
330,3.2900,0.1815,0.0034,0.6016,0.0000,0.0000,walking
335,3.3400,0.1817,0.0041,0.6015,0.0000,0.0000,walking
340,3.3900,0.1817,0.0043,0.6014,0.0000,0.0000,walking
345,3.4400,0.1818,0.0048,0.6013,0.0000,0.0000,walking
350,3.4900,0.2815,0.0051,0.6012,0.0000,0.4982,walking
355,3.5400,0.2816,0.0054,0.6013,0.0000,0.4982,walking
360,3.5900,0.2822,0.0072,0.6013,0.0000,0.4982,walking
365,3.6400,0.2811,0.0035,0.6013,0.0000,0.4982,walking
370,3.6900,0.2827,0.0088,0.6012,0.0000,0.4982,walking
375,3.7400,0.2823,0.0076,0.6012,0.0000,0.4982,walking
380,3.7900,0.2808,0.0027,0.6013,0.0000,0.4982,walking
385,3.8400,0.2806,0.0021,0.6013,0.0000,0.4982,walking
390,3.8900,0.2807,0.0021,0.6012,0.0000,0.4982,walking
395,3.9400,0.2807,0.0021,0.6012,0.0000,0.4982,walking
400,3.9900,0.2813,0.0053,0.6012,0.0000,0.4969,walking
405,4.0400,0.2820,0.0076,0.6012,0.0000,0.4969,walking
