step,t_sim,CI,phi,broadcast,self,complexity,mode
455,45.4000,0.4931,0.2604,0.6125,0.1562,1.0000,flight
460,45.9000,0.5591,0.2589,0.6128,0.4880,1.0000,flight
465,46.4000,0.4520,0.2273,0.6127,0.0000,1.0000,flight
470,46.9000,0.4540,0.2338,0.6127,0.0000,1.0000,flight
475,47.4000,0.4513,0.2251,0.6126,0.0000,1.0000,flight
480,47.9000,0.4504,0.2221,0.6125,0.0000,1.0000,flight
485,48.4000,0.4914,0.2165,0.6126,0.2135,1.0000,flight
490,48.9000,0.5058,0.2126,0.6123,0.2915,1.0000,flight
495,49.4000,0.5020,0.2161,0.6121,0.2677,1.0000,flight
500,49.9000,0.4178,0.2000,0.6118,0.3725,0.4987,flight
505,50.4000,0.4388,0.1859,0.6115,0.4990,0.4987,flight
510,50.9000,0.3422,0.1968,0.6113,0.0000,0.4987,flight
515,51.4000,0.3402,0.1899,0.6116,0.0000,0.4987,flight
520,51.9000,0.3359,0.1756,0.6116,0.0000,0.4987,flight
525,52.4000,0.3384,0.1838,0.6116,0.0000,0.4987,flight
530,52.9000,0.4124,0.1682,0.6118,0.3932,0.4987,flight
535,53.4000,0.4329,0.1738,0.6119,0.4872,0.4987,flight
540,53.9000,0.3492,0.2194,0.6120,0.0000,0.4987,flight
545,54.4000,0.3439,0.2018,0.6120,0.0000,0.4987,flight
550,54.9000,0.4371,0.1781,0.6123,0.0000,1.0000,flight
555,55.4000,0.4664,0.1706,0.6126,0.1570,1.0000,flight
560,55.9000,0.4923,0.1800,0.6127,0.2722,1.0000,flight
565,56.4000,0.4495,0.2189,0.6126,0.0000,1.0000,flight
570,56.9000,0.5510,0.2179,0.6128,0.5092,1.0000,flight
575,57.4000,0.5341,0.2137,0.6130,0.4303,1.0000,flight
580,57.9000,0.5322,0.2354,0.6128,0.3889,1.0000,flight
585,58.4000,0.4621,0.2609,0.6127,0.0000,1.0000,flight
590,58.9000,0.4510,0.2243,0.6126,0.0000,1.0000,flight
595,59.4000,0.4492,0.2179,0.6127,0.0000,1.0000,flight
600,59.9000,0.4485,0.2175,0.6126,0.0000,0.9976,flight
605,60.4000,0.4594,0.2536,0.6126,0.0000,0.9976,flight
610,60.9000,0.4517,0.2282,0.6124,0.0000,0.9976,flight
615,61.4000,0.5736,0.2934,0.6122,0.5119,0.9976,flight
620,61.9000,0.5407,0.2406,0.6120,0.4268,0.9976,flight
625,62.4000,0.4587,0.2520,0.6118,0.0000,0.9976,flight
630,62.9000,0.4595,0.2548,0.6118,0.0000,0.9976,flight
635,63.4000,0.4678,0.2822,0.6120,0.0000,0.9976,flight
640,63.9000,0.4564,0.2440,0.6123,0.0000,0.9976,flight
645,64.4000,0.4582,0.2502,0.6123,0.0000,0.9976,flight
650,64.9000,0.4660,0.2768,0.6121,0.0000,0.9967,flight
655,65.4000,0.4674,0.2818,0.6118,0.0000,0.9967,flight
660,65.9000,0.4684,0.2852,0.6118,0.0000,0.9967,flight
665,66.4000,0.4647,0.2725,0.6120,0.0000,0.9967,flight
670,66.9000,0.4688,0.2861,0.6120,0.0000,0.9967,flight
675,67.4000,0.4799,0.3230,0.6122,0.0000,0.9967,flight
680,67.9000,0.4743,0.3040,0.6124,0.0000,0.9967,flight
685,68.4000,0.4552,0.2405,0.6123,0.0000,0.9967,flight
690,68.9000,0.4558,0.2429,0.6121,0.0000,0.9967,flight
695,69.4000,0.4565,0.2452,0.6121,0.0000,0.9967,flight
700,69.9000,0.4438,0.2010,0.6122,0.0000,0.9991,flight
705,70.4000,0.4443,0.2028,0.6123,0.0000,0.9991,flight
710,70.9000,0.4475,0.2132,0.6123,0.0000,0.9991,flight
715,71.4000,0.4502,0.2223,0.6123,0.0000,0.9991,flight
720,71.9000,0.4491,0.2183,0.6126,0.0000,0.9991,flight
725,72.4000,0.4619,0.2612,0.6124,0.0000,0.9991,flight
730,72.9000,0.4594,0.2530,0.6122,0.0000,0.9991,flight
735,73.4000,0.4543,0.2360,0.6122,0.0000,0.9991,flight
740,73.9000,0.4507,0.2240,0.6124,0.0000,0.9991,flight
745,74.4000,0.4528,0.2308,0.6125,0.0000,0.9991,flight
750,74.9000,0.4447,0.2032,0.6125,0.0000,1.0000,flight
755,75.4000,0.4477,0.2132,0.6125,0.0000,1.0000,flight
760,75.9000,0.4538,0.2335,0.6124,0.0000,1.0000,flight
765,76.4000,0.4600,0.2543,0.6124,0.0000,1.0000,flight
770,76.9000,0.4593,0.2518,0.6125,0.0000,1.0000,flight
775,77.4000,0.4482,0.2146,0.6127,0.0000,1.0000,flight
780,77.9000,0.4575,0.2456,0.6129,0.0000,1.0000,flight
785,78.4000,0.4543,0.2345,0.6130,0.0000,1.0000,flight
790,78.9000,0.4582,0.2481,0.6127,0.0000,1.0000,flight
795,79.4000,0.4611,0.2579,0.6126,0.0000,1.0000,flight
800,79.9000,0.4609,0.2568,0.6128,0.0000,1.0000,flight
805,80.4000,0.4625,0.2621,0.6128,0.0000,1.0000,flight
810,80.9000,0.4572,0.2442,0.6130,0.0000,1.0000,flight
815,81.4000,0.5112,0.2586,0.6130,0.2485,1.0000,flight
820,81.9000,0.5054,0.2238,0.6128,0.2722,1.0000,flight
825,82.4000,0.4605,0.2555,0.6127,0.0000,1.0000,flight
830,82.9000,0.4589,0.2501,0.6128,0.0000,1.0000,flight
835,83.4000,0.4651,0.2709,0.6128,0.0000,1.0000,flight
