step,t_sim,CI,phi,broadcast,self,complexity,mode
5,0.4000,0.0000,0.0000,0.0000,0.0000,0.0000,escape
10,0.9000,0.0000,0.0000,0.0000,0.0000,0.0000,escape
15,1.4000,0.0000,0.0000,0.0000,0.0000,0.0000,escape
20,1.9000,0.0000,0.0000,0.0000,0.0000,0.0000,escape
25,2.4000,0.0000,0.0000,0.0000,0.0000,0.0000,escape
30,2.9000,0.0000,0.0000,0.0000,0.0000,0.0000,escape
35,3.4000,0.0000,0.0000,0.0000,0.0000,0.0000,escape
40,3.9000,0.0000,0.0000,0.0000,0.0000,0.0000,escape
45,4.4000,0.0000,0.0000,0.0000,0.0000,0.0000,escape
50,4.9000,0.0000,0.0000,0.0000,0.0000,0.0000,escape
55,5.4000,0.0000,0.0000,0.0000,0.0000,0.0000,escape
60,5.9000,0.0000,0.0000,0.0000,0.0000,0.0000,walking
65,6.4000,0.0000,0.0000,0.0000,0.0000,0.0000,walking
70,6.9000,0.0000,0.0000,0.0000,0.0000,0.0000,walking
75,7.4000,0.0000,0.0000,0.0000,0.0000,0.0000,walking
80,7.9000,0.0000,0.0000,0.0000,0.0000,0.0000,walking
85,8.4000,0.0000,0.0000,0.0000,0.0000,0.0000,walking
90,8.9000,0.0000,0.0000,0.0000,0.0000,0.0000,walking
95,9.4000,0.0000,0.0000,0.0000,0.0000,0.0000,walking
100,9.9000,0.0000,0.0000,0.0000,0.0000,0.0000,walking
105,10.4000,0.0000,0.0000,0.0000,0.0000,0.0000,walking
110,10.9000,0.0000,0.0000,0.0000,0.0000,0.0000,walking
115,11.4000,0.0000,0.0000,0.0000,0.0000,0.0000,walking
120,11.9000,0.0000,0.0000,0.0000,0.0000,0.0000,walking
125,12.4000,0.0000,0.0000,0.0000,0.0000,0.0000,walking
130,12.9000,0.0222,0.0000,0.0000,0.1111,0.0000,escape
135,13.4000,0.0000,0.0000,0.0000,0.0000,0.0000,walking
140,13.9000,0.0000,0.0000,0.0000,0.0000,0.0000,walking
145,14.4000,0.0000,0.0000,0.0000,0.0000,0.0000,walking
150,14.9000,0.0000,0.0000,0.0000,0.0000,0.0000,walking
155,15.4000,0.0000,0.0000,0.0000,0.0000,0.0000,walking
160,15.9000,0.0000,0.0000,0.0000,0.0000,0.0000,walking
165,16.4000,0.0000,0.0000,0.0000,0.0000,0.0000,walking
170,16.9000,0.0000,0.0000,0.0000,0.0000,0.0000,walking
175,17.4000,0.0000,0.0000,0.0000,0.0000,0.0000,walking
180,17.9000,0.0000,0.0000,0.0000,0.0000,0.0000,walking
185,18.4000,0.0000,0.0000,0.0000,0.0000,0.0000,walking
190,18.9000,0.0000,0.0000,0.0000,0.0000,0.0000,walking
195,19.4000,0.0000,0.0000,0.0000,0.0000,0.0000,walking
200,19.9000,0.0000,0.0000,0.0000,0.0000,0.0000,walking
205,20.4000,0.0000,0.0000,0.0000,0.0000,0.0000,walking
