step,t_sim,CI,phi,broadcast,self,complexity,mode
5,0.0400,0.0000,0.0000,0.0000,0.0000,0.0000,walking
10,0.0900,0.0000,0.0000,0.0000,0.0000,0.0000,walking
15,0.1400,0.0000,0.0000,0.0000,0.0000,0.0000,walking
20,0.1900,0.0000,0.0000,0.0000,0.0000,0.0000,walking
25,0.2400,0.0000,0.0000,0.0000,0.0000,0.0000,walking
30,0.2900,0.0000,0.0000,0.0000,0.0000,0.0000,walking
35,0.3400,0.0000,0.0000,0.0000,0.0000,0.0000,walking
40,0.3900,0.0450,0.0000,0.1500,0.0000,0.0000,walking
45,0.4400,0.0450,0.0000,0.1500,0.0000,0.0000,walking
50,0.4900,0.0450,0.0000,0.1500,0.0000,0.0000,walking
55,0.5400,0.0450,0.0000,0.1501,0.0000,0.0000,walking
60,0.5900,0.0450,0.0000,0.1501,0.0000,0.0000,walking
65,0.6400,0.0900,0.0000,0.3001,0.0000,0.0000,walking
70,0.6900,0.0900,0.0000,0.3001,0.0000,0.0000,walking
75,0.7400,0.1350,0.0000,0.4502,0.0000,0.0000,walking
80,0.7900,0.1350,0.0000,0.4502,0.0000,0.0000,walking
85,0.8400,0.1351,0.0000,0.4502,0.0000,0.0000,walking
90,0.8900,0.1351,0.0000,0.4502,0.0000,0.0000,walking
95,0.9400,0.1351,0.0000,0.4502,0.0000,0.0000,walking
100,0.9900,0.1351,0.0000,0.4502,0.0000,0.0000,walking
105,1.0400,0.1351,0.0000,0.4502,0.0000,0.0000,walking
110,1.0900,0.1351,0.0000,0.4502,0.0000,0.0000,walking
115,1.1400,0.1351,0.0000,0.4502,0.0000,0.0000,walking
120,1.1900,0.1351,0.0000,0.4502,0.0000,0.0000,walking
125,1.2400,0.0901,0.0000,0.3003,0.0000,0.0000,walking
130,1.2900,0.0901,0.0000,0.3004,0.0000,0.0000,walking
135,1.3400,0.0901,0.0000,0.3004,0.0000,0.0000,walking
140,1.3900,0.1351,0.0000,0.4504,0.0000,0.0000,walking
145,1.4400,0.1351,0.0000,0.4505,0.0000,0.0000,walking
150,1.4900,0.1352,0.0000,0.4505,0.0000,0.0000,walking
155,1.5400,0.1352,0.0000,0.4506,0.0000,0.0000,walking
160,1.5900,0.1352,0.0000,0.4506,0.0000,0.0000,walking
165,1.6400,0.1352,0.0000,0.4506,0.0000,0.0000,walking
170,1.6900,0.1352,0.0000,0.4506,0.0000,0.0000,walking
175,1.7400,0.1352,0.0000,0.4506,0.0000,0.0000,walking
180,1.7900,0.1352,0.0000,0.4506,0.0000,0.0000,walking
185,1.8400,0.1352,0.0000,0.4506,0.0000,0.0000,walking
190,1.8900,0.1352,0.0000,0.4506,0.0000,0.0000,walking
195,1.9400,0.1352,0.0000,0.4506,0.0000,0.0000,walking
200,1.9900,0.2347,0.0000,0.4505,0.0000,0.4979,walking
205,2.0400,0.2347,0.0000,0.4505,0.0000,0.4979,walking
210,2.0900,0.2347,0.0000,0.4505,0.0000,0.4979,walking
215,2.1400,0.2347,0.0000,0.4504,0.0000,0.4979,walking
220,2.1900,0.2347,0.0000,0.4504,0.0000,0.4979,walking
225,2.2400,0.2347,0.0000,0.4504,0.0000,0.4979,walking
230,2.2900,0.2347,0.0000,0.4505,0.0000,0.4979,walking
235,2.3400,0.2347,0.0000,0.4505,0.0000,0.4979,walking
240,2.3900,0.2347,0.0000,0.4505,0.0000,0.4979,walking
245,2.4400,0.2797,0.0000,0.6005,0.0000,0.4979,walking
250,2.4900,0.1801,0.0000,0.6005,0.0000,0.0000,walking
255,2.5400,0.1802,0.0000,0.6005,0.0000,0.0000,walking
260,2.5900,0.1802,0.0000,0.6006,0.0000,0.0000,walking
265,2.6400,0.1804,0.0007,0.6006,0.0000,0.0000,walking
270,2.6900,0.1805,0.0011,0.6006,0.0000,0.0000,walking
275,2.7400,0.1804,0.0008,0.6006,0.0000,0.0000,walking
280,2.7900,0.1805,0.0010,0.6006,0.0000,0.0000,walking
285,2.8400,0.1805,0.0010,0.6006,0.0000,0.0000,walking
290,2.8900,0.1804,0.0008,0.6006,0.0000,0.0000,walking
295,2.9400,0.1805,0.0010,0.6006,0.0000,0.0000,walking
300,2.9900,0.1805,0.0010,0.6006,0.0000,0.0000,walking
305,3.0400,0.1356,0.0012,0.4506,0.0000,0.0000,walking
310,3.0900,0.1356,0.0013,0.4506,0.0000,0.0000,walking
315,3.1400,0.1352,0.0000,0.4506,0.0000,0.0000,walking
320,3.1900,0.1802,0.0000,0.6006,0.0000,0.0000,walking
325,3.2400,0.1802,0.0000,0.6005,0.0000,0.0000,walking
330,3.2900,0.1802,0.0000,0.6005,0.0000,0.0000,walking
335,3.3400,0.1805,0.0013,0.6005,0.0000,0.0000,walking
340,3.3900,0.1805,0.0012,0.6005,0.0000,0.0000,walking
345,3.4400,0.1811,0.0033,0.6005,0.0000,0.0000,walking
350,3.4900,0.2804,0.0033,0.6005,0.0000,0.4964,walking
355,3.5400,0.2802,0.0026,0.6005,0.0000,0.4964,walking
360,3.5900,0.2802,0.0026,0.6005,0.0000,0.4964,walking
365,3.6400,0.2802,0.0026,0.6005,0.0000,0.4964,walking
370,3.6900,0.2351,0.0022,0.4505,0.0000,0.4964,walking
375,3.7400,0.2352,0.0026,0.4505,0.0000,0.4964,walking
380,3.7900,0.2351,0.0022,0.4505,0.0000,0.4964,walking
385,3.8400,0.2349,0.0015,0.4505,0.0000,0.4964,walking
390,3.8900,0.2349,0.0015,0.4505,0.0000,0.4964,walking
395,3.9400,0.2344,0.0000,0.4505,0.0000,0.4964,walking
400,3.9900,0.2346,0.0000,0.4505,0.0000,0.4972,walking
405,4.0400,0.2346,0.0000,0.4505,0.0000,0.4972,walking
