step,t_sim,CI,phi,broadcast,self,complexity,mode
5,0.4000,0.0000,0.0000,0.0000,0.0000,0.0000,escape
10,0.9000,0.0000,0.0000,0.0000,0.0000,0.0000,escape
15,1.4000,0.0000,0.0000,0.0000,0.0000,0.0000,escape
20,1.9000,0.0000,0.0000,0.0000,0.0000,0.0000,escape
25,2.4000,0.0000,0.0000,0.0000,0.0000,0.0000,escape
30,2.9000,0.0000,0.0000,0.0000,0.0000,0.0000,escape
35,3.4000,0.0000,0.0000,0.0000,0.0000,0.0000,escape
40,3.9000,0.0000,0.0000,0.0000,0.0000,0.0000,escape
45,4.4000,0.0000,0.0000,0.0000,0.0000,0.0000,escape
50,4.9000,0.0900,0.0000,0.3000,0.0000,0.0000,escape
55,5.4000,0.1350,0.0000,0.4501,0.0000,0.0000,escape
60,5.9000,0.1350,0.0000,0.4501,0.0000,0.0000,escape
65,6.4000,0.1350,0.0000,0.4501,0.0000,0.0000,walking
70,6.9000,0.1350,0.0000,0.4502,0.0000,0.0000,escape
75,7.4000,0.1351,0.0000,0.4502,0.0000,0.0000,walking
80,7.9000,0.1385,0.0115,0.4502,0.0000,0.0000,walking
85,8.4000,0.1385,0.0115,0.4503,0.0000,0.0000,walking
90,8.9000,0.1828,0.0091,0.6003,0.0000,0.0000,walking
95,9.4000,0.1821,0.0068,0.6004,0.0000,0.0000,walking
100,9.9000,0.2814,0.0063,0.6004,0.0000,0.4971,walking
105,10.4000,0.2812,0.0055,0.6003,0.0000,0.4971,walking
110,10.9000,0.2823,0.0091,0.6004,0.0000,0.4971,walking
115,11.4000,0.2821,0.0085,0.6004,0.0000,0.4971,walking
120,11.9000,0.2823,0.0093,0.6004,0.0000,0.4971,walking
125,12.4000,0.2825,0.0099,0.6005,0.0000,0.4971,walking
130,12.9000,0.2833,0.0126,0.6005,0.0000,0.4971,walking
135,13.4000,0.2807,0.0037,0.6006,0.0000,0.4971,walking
140,13.9000,0.2820,0.0080,0.6007,0.0000,0.4971,walking
145,14.4000,0.2859,0.0209,0.6008,0.0000,0.4971,walking
150,14.9000,0.2868,0.0229,0.6009,0.0000,0.4985,walking
155,15.4000,0.2937,0.0456,0.6010,0.0000,0.4985,walking
160,15.9000,0.3269,0.0452,0.6010,0.1667,0.4985,walking
165,16.4000,0.2979,0.0593,0.6012,0.0000,0.4985,walking
170,16.9000,0.3016,0.0715,0.6014,0.0000,0.4985,walking
175,17.4000,0.3051,0.0833,0.6015,0.0000,0.4985,walking
180,17.9000,0.3087,0.0951,0.6016,0.0000,0.4985,walking
185,18.4000,0.3124,0.1071,0.6019,0.0000,0.4985,walking
190,18.9000,0.3077,0.0915,0.6020,0.0000,0.4985,walking
195,19.4000,0.3055,0.0840,0.6021,0.0000,0.4985,walking
200,19.9000,0.3989,0.0625,0.6023,0.0000,0.9974,walking
205,20.4000,0.3949,0.0490,0.6026,0.0000,0.9974,walking
