step,t_sim,CI,phi,broadcast,self,complexity,mode
5,0.0400,0.0000,0.0000,0.0000,0.0000,0.0000,walking
10,0.0900,0.0000,0.0000,0.0000,0.0000,0.0000,walking
15,0.1400,0.0000,0.0000,0.0000,0.0000,0.0000,walking
20,0.1900,0.0000,0.0000,0.0000,0.0000,0.0000,walking
25,0.2400,0.0000,0.0000,0.0000,0.0000,0.0000,walking
30,0.2900,0.0000,0.0000,0.0000,0.0000,0.0000,walking
35,0.3400,0.0000,0.0000,0.0000,0.0000,0.0000,walking
40,0.3900,0.0450,0.0000,0.1500,0.0000,0.0000,walking
45,0.4400,0.0900,0.0000,0.3000,0.0000,0.0000,walking
50,0.4900,0.1350,0.0000,0.4501,0.0000,0.0000,walking
55,0.5400,0.1351,0.0000,0.4502,0.0000,0.0000,walking
60,0.5900,0.1351,0.0000,0.4502,0.0000,0.0000,walking
65,0.6400,0.1351,0.0000,0.4503,0.0000,0.0000,walking
70,0.6900,0.1351,0.0000,0.4504,0.0000,0.0000,walking
75,0.7400,0.1351,0.0000,0.4505,0.0000,0.0000,walking
80,0.7900,0.1352,0.0000,0.4505,0.0000,0.0000,walking
85,0.8400,0.1352,0.0000,0.4506,0.0000,0.0000,walking
90,0.8900,0.1352,0.0000,0.4506,0.0000,0.0000,walking
95,0.9400,0.1352,0.0000,0.4507,0.0000,0.0000,walking
100,0.9900,0.1352,0.0000,0.4508,0.0000,0.0000,walking
105,1.0400,0.1352,0.0000,0.4508,0.0000,0.0000,walking
110,1.0900,0.1352,0.0000,0.4508,0.0000,0.0000,walking
115,1.1400,0.1352,0.0000,0.4507,0.0000,0.0000,walking
120,1.1900,0.1355,0.0007,0.4508,0.0000,0.0000,walking
125,1.2400,0.1355,0.0007,0.4509,0.0000,0.0000,walking
130,1.2900,0.1360,0.0022,0.4509,0.0000,0.0000,walking
135,1.3400,0.1369,0.0054,0.4511,0.0000,0.0000,walking
140,1.3900,0.0925,0.0073,0.3011,0.0000,0.0000,walking
145,1.4400,0.0923,0.0064,0.3012,0.0000,0.0000,walking
150,1.4900,0.1378,0.0080,0.4513,0.0000,0.0000,walking
155,1.5400,0.1816,0.0040,0.6013,0.0000,0.0000,walking
160,1.5900,0.1820,0.0051,0.6015,0.0000,0.0000,walking
165,1.6400,0.1828,0.0076,0.6017,0.0000,0.0000,walking
170,1.6900,0.1825,0.0067,0.6017,0.0000,0.0000,walking
175,1.7400,0.1826,0.0067,0.6018,0.0000,0.0000,walking
180,1.7900,0.1824,0.0062,0.6020,0.0000,0.0000,walking
185,1.8400,0.1820,0.0048,0.6020,0.0000,0.0000,walking
190,1.8900,0.1821,0.0049,0.6021,0.0000,0.0000,walking
195,1.9400,0.1821,0.0046,0.6022,0.0000,0.0000,walking
200,1.9900,0.1810,0.0012,0.6022,0.0000,0.0000,walking
205,2.0400,0.1814,0.0023,0.6023,0.0000,0.0000,walking
210,2.0900,0.1811,0.0012,0.6024,0.0000,0.0000,walking
215,2.1400,0.1810,0.0008,0.6024,0.0000,0.0000,walking
220,2.1900,0.1813,0.0018,0.6024,0.0000,0.0000,walking
225,2.2400,0.1820,0.0041,0.6024,0.0000,0.0000,walking
230,2.2900,0.1821,0.0047,0.6024,0.0000,0.0000,walking
235,2.3400,0.1819,0.0040,0.6024,0.0000,0.0000,walking
240,2.3900,0.1835,0.0095,0.6024,0.0000,0.0000,walking
245,2.4400,0.1843,0.0122,0.6023,0.0000,0.0000,walking
250,2.4900,0.2838,0.0117,0.6023,0.0000,0.4981,walking
255,2.5400,0.2836,0.0112,0.6022,0.0000,0.4981,walking
260,2.5900,0.2830,0.0092,0.6022,0.0000,0.4981,walking
265,2.6400,0.2834,0.0104,0.6021,0.0000,0.4981,walking
270,2.6900,0.2839,0.0123,0.6021,0.0000,0.4981,walking
275,2.7400,0.2862,0.0200,0.6021,0.0000,0.4981,walking
280,2.7900,0.2835,0.0111,0.6020,0.0000,0.4981,walking
285,2.8400,0.2821,0.0064,0.6020,0.0000,0.4981,walking
290,2.8900,0.2815,0.0041,0.6020,0.0000,0.4981,walking
295,2.9400,0.2808,0.0017,0.6021,0.0000,0.4981,walking
300,2.9900,0.2812,0.0025,0.6021,0.0000,0.4994,walking
305,3.0400,0.2817,0.0041,0.6021,0.0000,0.4994,walking
310,3.0900,0.2823,0.0059,0.6021,0.0000,0.4994,walking
315,3.1400,0.2820,0.0051,0.6021,0.0000,0.4994,walking
320,3.1900,0.2819,0.0047,0.6021,0.0000,0.4994,walking
325,3.2400,0.2824,0.0062,0.6021,0.0000,0.4994,walking
330,3.2900,0.2825,0.0067,0.6021,0.0000,0.4994,walking
335,3.3400,0.2846,0.0137,0.6020,0.0000,0.4994,walking
340,3.3900,0.2854,0.0163,0.6020,0.0000,0.4994,walking
345,3.4400,0.2846,0.0138,0.6019,0.0000,0.4994,walking
350,3.4900,0.2854,0.0185,0.6019,0.0000,0.4963,walking
355,3.5400,0.3070,0.0165,0.6019,0.1111,0.4963,walking
360,3.5900,0.2835,0.0124,0.6018,0.0000,0.4963,walking
365,3.6400,0.2843,0.0150,0.6017,0.0000,0.4963,walking
370,3.6900,0.2808,0.0035,0.6016,0.0000,0.4963,walking
375,3.7400,0.2808,0.0034,0.6016,0.0000,0.4963,walking
380,3.7900,0.2829,0.0106,0.6016,0.0000,0.4963,walking
385,3.8400,0.2829,0.0106,0.6016,0.0000,0.4963,walking
390,3.8900,0.2825,0.0092,0.6015,0.0000,0.4963,walking
395,3.9400,0.2826,0.0095,0.6015,0.0000,0.4963,walking
400,3.9900,0.2829,0.0095,0.6015,0.0000,0.4980,walking
405,4.0400,0.2826,0.0086,0.6015,0.0000,0.4980,walking
